serial_number,time_stamp,1 year,2 year,3 year,4 year,5 year,6 year,7 year,8 year,9 year,10 year,15 year,20 year,25 year,30 year
4635,1988-02-05,3.647,3.72,3.882,4.051,4.16,4.244,4.313,4.423,4.725,4.535,,5.287,,
4636,1988-02-04,3.677,3.73,3.868,4.028,4.138,4.209,4.25,4.35,4.656,4.443,,5.27,,
4637,1988-02-03,3.677,3.725,3.864,4.028,4.136,4.209,4.239,4.34,4.666,4.448,,5.27,,
4638,1988-02-02,3.667,3.721,3.893,4.056,4.154,4.227,4.257,4.368,4.712,4.492,,5.286,,
4639,1988-02-01,3.697,3.717,3.889,4.053,4.154,4.227,4.246,4.348,4.685,4.441,,5.278,,
4640,1988-01-30,3.726,3.731,3.895,4.054,4.157,4.251,4.289,4.395,4.75,4.138,,5.272,,
4641,1988-01-29,3.717,3.727,3.892,4.053,4.187,4.299,4.346,4.45,4.792,4.166,,5.288,,
4642,1988-01-28,3.765,3.766,3.921,4.076,4.222,4.343,4.398,4.499,4.835,4.226,,5.326,,
4643,1988-01-27,3.755,3.775,3.928,4.083,4.24,4.392,4.455,4.555,4.869,4.284,,5.358,,
4644,1988-01-26,3.804,3.769,3.924,4.081,4.24,4.39,4.474,4.583,4.869,4.28,,5.344,,
4645,1988-01-25,3.794,3.765,3.921,4.078,4.238,4.39,4.474,4.583,4.852,4.25,,5.336,,
4646,1988-01-23,3.784,3.751,3.917,4.076,4.236,4.386,4.502,4.581,4.842,4.248,,5.355,,
4647,1988-01-22,3.822,3.775,3.928,4.079,4.243,4.39,4.515,4.602,4.867,4.295,,5.362,,
4648,1988-01-21,3.812,3.77,3.925,4.077,4.241,4.379,4.503,4.583,4.876,4.247,,5.348,,
4649,1988-01-20,3.812,3.765,3.922,4.076,4.23,4.368,4.484,4.554,4.885,4.264,,5.324,,
4650,1988-01-19,3.802,3.76,3.918,4.074,4.22,4.347,4.454,4.517,4.849,4.246,,5.285,,
4651,1988-01-18,3.839,3.778,3.935,4.076,4.218,4.345,4.453,4.526,4.848,4.313,,5.301,,
4652,1988-01-14,3.845,3.8,3.947,4.077,4.219,4.346,4.434,4.508,4.838,4.297,,5.287,,
4653,1988-01-13,3.851,3.825,3.972,4.105,4.259,4.384,4.52,4.6,4.951,4.482,,5.464,,
4654,1988-01-12,3.856,3.819,3.969,4.105,4.257,4.382,4.52,4.6,4.951,4.509,,5.491,,
4655,1988-01-11,3.848,3.825,3.975,4.115,4.265,4.402,4.539,4.627,5.013,4.596,,5.522,,
4656,1988-01-08,3.862,3.835,3.98,4.122,4.268,4.402,4.54,4.619,5.001,4.512,,5.523,,
4657,1988-01-07,3.868,3.84,3.987,4.121,4.268,4.402,4.539,4.617,5.011,4.525,,5.523,,
4658,1988-01-06,3.865,3.835,3.983,4.119,4.266,4.392,4.509,4.58,4.984,4.449,,5.507,,
4659,1988-01-05,3.859,3.83,3.98,4.116,4.264,4.38,4.5,4.562,4.95,4.394,,5.483,,
4660,1988-01-04,3.859,3.825,3.976,4.117,4.264,4.369,4.489,4.534,4.923,4.372,,5.499,,
4661,1987-12-28,3.822,3.804,3.964,4.114,4.282,4.392,4.514,4.568,4.976,4.824,,5.56,,
4662,1987-12-26,3.874,3.841,3.98,4.127,4.299,4.41,4.551,4.613,4.955,4.928,,5.596,,
4663,1987-12-25,3.874,3.836,3.976,4.125,4.298,4.41,4.549,4.613,4.955,4.931,,5.596,,
4664,1987-12-24,3.863,3.836,3.973,4.122,4.296,4.402,4.54,4.593,4.932,4.914,,5.596,,
4665,1987-12-23,3.858,3.831,3.972,4.12,4.295,4.395,4.523,4.574,4.916,4.91,,5.596,,
4666,1987-12-22,3.894,3.867,3.994,4.139,4.3,4.404,4.547,4.612,4.903,4.996,,5.624,,
4667,1987-12-21,3.889,3.862,3.99,4.127,4.285,4.384,4.518,4.584,4.882,4.936,,5.67,,
4668,1987-12-18,3.869,3.847,3.985,4.142,4.32,4.439,4.601,4.676,4.955,5.09,,5.702,,
4669,1987-12-17,3.874,3.843,3.998,4.169,4.367,4.487,4.674,4.759,5.034,5.181,,5.866,,
4670,1987-12-16,3.911,3.974,4.082,4.211,4.394,4.524,4.728,4.816,5.069,5.247,,5.866,,
4671,1987-12-15,3.901,3.977,4.099,4.243,4.447,4.61,4.841,4.927,5.174,5.352,,5.907,,
4672,1987-12-14,3.922,3.986,4.103,4.245,4.44,4.593,4.821,4.896,5.142,5.301,,5.907,,
4673,1987-12-11,3.901,3.971,4.095,4.239,4.434,4.571,4.788,4.849,5.098,5.219,,5.899,,
4674,1987-12-10,3.925,3.985,4.102,4.236,4.427,4.578,4.813,4.873,5.125,5.293,,5.898,,
4675,1987-12-09,3.915,3.982,4.098,4.235,4.425,4.567,4.792,4.836,5.082,5.239,,5.882,,
4676,1987-12-08,3.915,3.987,4.105,4.242,4.433,4.576,4.792,4.817,5.064,5.208,,5.882,,
4677,1987-12-07,3.904,3.982,4.101,4.241,4.452,4.594,4.831,4.9,5.125,5.282,,5.959,,
4678,1987-12-05,3.935,4.004,4.112,4.246,4.434,4.571,4.802,4.848,5.052,5.293,,5.952,,
4679,1987-12-04,3.917,3.998,4.109,4.243,4.432,4.569,4.763,4.819,5.027,5.248,,5.952,,
4680,1987-12-03,3.909,3.993,4.106,4.241,4.432,4.57,4.733,4.782,4.983,5.195,,5.972,,
4681,1987-12-02,3.884,3.988,4.102,4.241,4.43,4.568,4.733,4.781,4.983,5.195,,5.934,,
4682,1987-12-01,3.904,4.006,4.113,4.247,4.435,4.573,4.716,4.761,4.958,5.151,,5.909,,
4683,1987-11-30,3.904,4.001,4.11,4.244,4.435,4.569,4.812,4.872,5.064,5.272,,5.948,,
4684,1987-11-28,3.884,3.991,4.104,4.239,4.431,4.568,4.772,4.825,5.01,5.223,,5.917,,
4685,1987-11-27,3.915,4.014,4.114,4.245,4.436,4.552,4.755,4.795,4.986,5.193,,5.911,,
4686,1987-11-26,3.904,4.009,4.111,4.255,4.446,4.58,4.792,4.834,5.021,5.228,,5.949,,
4687,1987-11-25,3.903,4.005,4.108,4.254,4.414,4.503,4.647,4.729,4.906,5.108,,5.902,,
4688,1987-11-24,3.946,4.05,4.155,4.3,4.463,4.549,4.741,4.826,4.99,5.137,,5.904,,
4689,1987-11-20,3.925,4.031,4.146,4.323,4.507,4.593,4.786,4.908,5.059,5.215,,5.93,,
4690,1987-11-19,3.955,4.048,4.156,4.328,4.512,4.597,4.802,4.945,5.095,5.234,,5.92,,
4691,1987-11-18,3.945,4.048,4.152,4.347,4.529,4.645,4.849,4.981,5.13,5.28,,5.901,,
4692,1987-11-17,3.935,4.043,4.149,4.396,4.578,4.692,4.922,5.073,5.23,5.376,,6.008,,
4693,1987-11-16,3.883,4.038,4.145,4.393,4.576,4.692,4.945,5.148,5.318,5.43,,6.084,,
4694,1987-11-13,3.842,3.998,4.147,4.345,4.531,4.626,4.849,5.044,5.224,5.322,,6.041,,
4695,1987-11-12,3.739,3.943,4.093,4.315,4.479,4.566,4.755,4.96,5.119,5.223,,6.019,,
4696,1987-11-11,3.73,3.938,4.089,4.292,4.45,4.518,4.636,4.82,4.996,5.093,,5.965,,
4697,1987-11-10,3.72,3.937,4.086,4.289,4.447,4.516,4.635,4.821,4.978,5.076,,5.988,,
4698,1987-11-09,3.761,3.953,4.099,4.297,4.436,4.462,4.507,4.698,4.863,4.964,,5.926,,
4699,1987-11-07,3.751,3.943,4.092,4.292,4.434,4.441,4.444,4.603,4.772,4.878,,5.839,,
4700,1987-11-06,3.788,4.039,4.191,4.438,4.585,4.618,4.626,4.749,4.904,5.005,,5.917,,
4701,1987-11-05,3.887,4.134,4.287,4.615,4.76,4.812,4.84,4.934,5.08,5.171,,6.062,,
4702,1987-11-04,3.937,4.184,4.364,4.692,4.837,4.908,4.921,5.035,5.175,5.264,,6.093,,
4703,1987-11-02,3.917,4.174,4.388,4.729,4.853,4.926,4.941,5.069,5.213,5.292,,6.118,,
4704,1987-10-31,3.938,4.188,4.398,4.734,4.891,4.929,4.944,5.027,5.169,5.285,,6.293,,
4705,1987-10-30,3.937,4.238,4.448,4.783,4.939,4.976,4.99,5.087,5.243,5.333,,6.316,,
4706,1987-10-29,4.163,4.485,4.595,4.889,5.064,5.118,4.986,5,5.191,5.244,,6.289,,
4707,1987-10-28,4.472,4.63,4.74,5.005,5.178,5.222,5.245,5.232,5.402,5.504,,6.5,,
4708,1987-10-27,4.539,4.707,4.811,5.078,5.261,5.32,5.339,5.335,5.588,5.668,,6.722,,
4709,1987-10-26,4.53,4.703,4.81,5.078,5.259,5.322,5.321,5.288,5.537,5.631,,6.702,,
4710,1987-10-24,4.678,4.797,4.904,5.172,5.354,5.413,5.448,5.422,5.607,5.773,,6.712,,
4711,1987-10-23,4.727,4.863,5,5.268,5.531,5.607,5.652,5.62,5.862,5.955,,6.794,,
4712,1987-10-22,4.811,4.904,5.039,5.302,5.554,5.653,5.709,5.673,5.917,6.008,,6.777,,
4713,1987-10-21,4.889,4.949,5.038,5.302,5.532,5.634,5.691,5.64,5.887,5.982,,6.744,,
4714,1987-10-20,4.959,5.019,5.103,5.367,5.625,5.774,5.846,5.794,6.015,6.131,,6.811,,
4715,1987-10-19,5.006,5.064,5.15,5.414,5.685,5.914,6.009,5.967,6.167,6.323,,6.807,,
4716,1987-10-16,5.029,5.091,5.175,5.436,5.716,5.943,6.038,5.993,6.2,6.358,,6.807,,
4717,1987-10-15,5.049,5.12,5.202,5.463,5.754,5.989,6.082,6.046,6.246,6.422,,6.842,,
4718,1987-10-14,5.047,5.085,5.168,5.433,5.724,5.961,6.05,6.001,6.179,6.352,,6.808,,
4719,1987-10-13,5.047,5.08,5.168,5.431,5.721,5.989,6.077,6.026,6.188,6.38,,6.821,,
4720,1987-10-12,5.065,5.099,5.185,5.43,5.716,6.038,6.12,6.077,6.255,6.446,,6.842,,
4721,1987-10-09,5.052,5.089,5.174,5.415,5.691,6.011,6.116,6.078,6.24,6.433,,6.838,,
4722,1987-10-08,5.015,5.033,5.119,5.365,5.642,5.963,6.097,6.026,6.124,6.292,,6.804,,
4723,1987-10-07,5.015,5.032,5.119,5.363,5.638,6.008,6.139,6.087,6.203,6.395,,6.798,,
4724,1987-10-06,5.015,5.028,5.116,5.363,5.642,6.048,6.21,6.219,6.338,6.593,,6.787,,
4725,1987-10-05,5.018,5.032,5.125,5.368,5.645,6.049,6.246,6.272,6.387,6.662,,6.766,,
4726,1987-10-03,4.955,4.924,5.013,5.259,5.541,5.906,6.101,6.113,6.237,6.505,,6.641,,
4727,1987-10-02,4.879,4.872,4.959,5.209,5.482,5.841,6.028,6.044,6.155,6.377,,6.606,,
4728,1987-10-01,4.81,4.874,4.955,5.213,5.484,5.842,6.027,6.042,6.125,6.389,,6.606,,
4729,1987-09-30,4.789,4.85,4.933,5.192,5.459,5.745,5.937,5.936,6.018,6.307,,6.539,,
4730,1987-09-29,4.784,4.835,4.93,5.192,5.457,5.732,6.157,6.176,6.251,6.517,,6.568,,
4731,1987-09-28,4.591,4.526,4.628,4.915,5.183,5.49,5.981,6.001,6,6.248,,6.465,,
4732,1987-09-26,4.526,4.444,4.542,4.826,5.09,5.421,5.909,5.959,5.967,6.197,,6.468,,
4733,1987-09-25,4.278,4.368,4.439,4.726,4.992,5.354,5.892,5.957,5.977,6.182,,6.506,,
4734,1987-09-24,4.167,4.261,4.335,4.625,4.892,5.259,5.801,5.87,5.932,6.088,,6.436,,
4735,1987-09-22,4.101,4.203,4.28,4.55,4.822,5.222,5.785,5.851,5.917,6.058,,6.437,,
4736,1987-09-21,4.072,4.171,4.213,4.482,4.726,5.181,5.755,5.826,5.903,6.026,,6.368,,
4737,1987-09-18,4.007,4.087,4.133,4.406,4.643,5.102,5.672,5.736,5.822,5.93,,6.312,,
4738,1987-09-17,4.003,4.063,4.108,4.385,4.622,5.082,5.653,5.743,5.798,5.923,,6.304,,
4739,1987-09-16,3.998,4.059,4.105,4.383,4.621,5.082,5.665,5.772,5.802,5.957,,6.26,,
4740,1987-09-14,4.016,4.062,4.106,4.37,4.587,5.041,5.566,5.687,5.705,5.873,,6.213,,
4741,1987-09-11,4.03,4.056,4.106,4.373,4.588,5.14,5.655,5.794,5.771,5.945,,6.227,,
4742,1987-09-10,4.026,4.057,4.082,4.352,4.565,5.14,5.655,5.792,5.736,5.899,,6.227,,
4743,1987-09-09,4.026,4.052,4.079,4.349,4.564,5.14,5.657,5.776,5.702,5.876,,6.156,,
4744,1987-09-08,4.045,4.065,4.09,4.356,4.571,5.103,5.607,5.721,5.64,5.836,,6.086,,
4745,1987-09-07,4.015,4.039,4.087,4.354,4.57,5.101,5.625,5.778,5.719,5.915,,6.057,,
4746,1987-09-05,3.971,4.019,4.071,4.32,4.516,5.052,5.588,5.764,5.701,5.908,,6.05,,
4747,1987-09-04,3.958,3.988,4.034,4.279,4.455,4.962,5.359,5.505,5.425,5.678,,5.945,,
4748,1987-09-03,3.914,3.984,4.031,4.276,4.454,4.959,5.331,5.419,5.419,5.627,,5.873,,
4749,1987-09-02,3.857,3.928,3.977,4.225,4.408,4.808,5.123,5.199,5.19,5.43,,5.784,,
4750,1987-09-01,3.882,3.951,3.996,4.238,4.418,4.814,5.126,5.196,5.201,5.425,,5.79,,
4751,1987-08-31,3.883,3.947,3.992,4.235,4.416,4.813,5.126,5.197,5.189,5.489,,5.789,,
4752,1987-08-29,3.872,3.941,3.986,4.191,4.376,4.746,4.979,5.025,5.088,5.347,,5.73,,
4753,1987-08-28,3.851,3.929,3.971,4.169,4.356,4.671,4.865,4.913,4.995,5.244,,5.696,,
4754,1987-08-27,3.85,3.893,3.947,4.146,4.335,4.642,4.805,4.858,4.924,5.183,,5.636,,
4755,1987-08-26,3.839,3.909,3.964,4.164,4.352,4.67,4.831,4.926,4.995,5.246,,5.659,,
4756,1987-08-25,3.849,3.945,4.011,4.212,4.399,4.748,4.925,5.045,5.115,5.367,,5.708,,
4757,1987-08-24,3.841,3.909,3.978,4.182,4.368,4.711,4.771,5.005,5.071,5.328,,5.693,,
4758,1987-08-22,3.86,3.923,3.989,4.188,4.377,4.664,4.731,4.842,4.897,5.164,,5.62,,
4759,1987-08-21,4.015,3.968,4.037,4.236,4.423,4.763,4.904,5.091,5.057,5.311,,5.696,,
4760,1987-08-20,4.046,4.008,4.074,4.272,4.459,4.863,5.017,5.251,5.259,5.489,,5.737,,
4761,1987-08-19,4.098,4.034,4.101,4.3,4.486,4.89,5.114,5.393,5.413,5.626,,5.775,,
4762,1987-08-18,4.109,4.049,4.117,4.318,4.513,4.96,5.191,5.5,5.498,5.79,,5.858,,
4763,1987-08-17,4.142,4.073,4.135,4.331,4.523,4.962,5.181,5.5,5.513,5.718,,5.815,,
4764,1987-08-14,4.122,4.057,4.125,4.323,4.519,4.96,5.174,5.474,5.494,5.682,,5.815,,
4765,1987-08-13,4.101,4.053,4.122,4.323,4.518,4.939,5.155,5.447,5.447,5.645,,5.815,,
4766,1987-08-12,4.091,4.053,4.119,4.32,4.516,4.937,5.155,5.429,5.423,5.629,,5.815,,
4767,1987-08-11,4.13,4.071,4.133,4.328,4.516,4.94,5.147,5.457,5.491,5.665,,5.819,,
4768,1987-08-10,4.12,4.046,4.11,4.277,4.466,4.84,5.045,5.302,5.357,5.535,,5.744,,
4769,1987-08-07,4.1,4.031,4.1,4.27,4.462,4.837,5.044,5.292,5.351,5.5,,5.744,,
4770,1987-08-06,4.11,4.046,4.116,4.287,4.481,4.855,5.039,5.404,5.419,5.581,,5.831,,
4771,1987-08-05,4.139,4.07,4.135,4.298,4.484,4.855,5.084,5.537,5.611,5.695,,5.87,,
4772,1987-08-04,4.129,4.09,4.151,4.318,4.501,4.904,5.129,5.637,5.734,5.826,,5.925,,
4773,1987-08-03,4.079,4.045,4.108,4.275,4.461,4.806,4.939,5.271,5.435,5.591,,5.783,,
4774,1987-08-01,4.048,4.015,4.082,4.252,4.444,4.65,4.775,5.054,5.235,5.435,,5.636,,
4775,1987-07-31,4.071,4.038,4.1,4.257,4.424,4.616,4.724,4.962,5.103,5.253,,5.604,,
4776,1987-07-30,4.071,4.033,4.096,4.255,4.412,4.585,4.674,4.914,5.042,5.187,,5.528,,
4777,1987-07-29,4.091,4.028,4.093,4.271,4.409,4.564,4.675,4.915,5.021,5.178,,5.528,,
4778,1987-07-28,4.09,4.023,4.09,4.268,4.409,4.562,4.666,4.859,5.02,5.075,,5.551,,
4779,1987-07-27,4.157,4.078,4.129,4.299,4.449,4.603,4.694,4.812,4.971,5.081,,5.561,,
4780,1987-07-25,4.108,4.076,4.129,4.292,4.43,4.574,4.666,4.764,4.891,5.045,,5.486,,
4781,1987-07-24,4.157,4.124,4.18,4.33,4.46,4.593,4.695,4.866,4.978,5.124,,5.536,,
4782,1987-07-23,4.189,4.143,4.206,4.362,4.491,4.602,4.714,4.894,5.039,5.16,,5.575,,
4783,1987-07-22,4.187,4.147,4.206,4.361,4.48,4.582,4.674,4.867,5.065,5.126,,5.538,,
4784,1987-07-21,4.188,4.145,4.199,4.341,4.461,4.564,4.645,4.838,4.987,5.112,,5.499,,
4785,1987-07-20,4.186,4.144,4.199,4.342,4.461,4.563,4.646,4.838,5.052,5.12,,5.486,,
4786,1987-07-17,4.223,4.141,4.197,4.298,4.389,4.471,4.546,4.718,4.91,5.045,,5.45,,
4787,1987-07-16,4.222,4.119,4.191,4.27,4.34,4.404,4.468,4.605,4.794,4.91,,5.318,,
4788,1987-07-15,4.195,4.12,4.191,4.269,4.339,4.403,4.467,4.605,4.792,4.912,,5.284,,
4789,1987-07-14,4.163,4.099,4.168,4.269,4.338,4.402,4.468,4.586,4.745,4.874,,5.222,,
4790,1987-07-13,4.13,4.122,4.19,4.298,4.368,4.422,4.467,4.6,4.762,4.855,,5.18,,
4791,1987-07-10,4.16,4.149,4.211,4.339,4.416,4.47,4.544,4.668,4.812,4.9,,5.182,,
4792,1987-07-09,4.128,4.119,4.213,4.326,4.404,4.469,4.525,4.65,4.777,4.928,,5.156,,
4793,1987-07-08,4.077,4.07,4.163,4.273,4.421,4.567,4.65,4.762,4.864,5.036,,5.196,,
4794,1987-07-07,3.98,3.97,4.06,4.219,4.346,4.469,4.554,4.669,4.773,4.972,,5.117,,
4795,1987-07-06,3.996,3.968,4.06,4.217,4.346,4.469,4.554,4.669,4.781,5.02,,5.117,,
4796,1987-07-04,3.895,3.869,3.961,4.099,4.246,4.39,4.477,4.576,4.719,4.919,,5.079,,
4797,1987-07-03,3.8,3.77,3.859,3.968,4.077,4.194,4.264,4.339,4.489,4.713,,4.967,,
4798,1987-07-02,3.745,3.728,3.818,3.91,3.985,4.095,4.157,4.205,4.354,4.584,,4.92,,
4799,1987-07-01,3.706,3.7,3.787,3.879,3.955,4.066,4.128,4.176,4.31,4.598,,4.919,,
4800,1987-06-30,3.699,3.725,3.818,3.908,3.984,4.095,4.147,4.289,4.424,4.602,,5.048,,
4801,1987-06-29,3.697,3.715,3.808,3.907,3.983,4.075,4.148,4.275,4.42,4.622,,5.045,,
4802,1987-06-27,3.69,3.696,3.788,3.887,3.962,4.055,4.126,4.242,4.378,4.607,,5.021,,
4803,1987-06-26,3.674,3.693,3.788,3.886,3.96,4.055,4.126,4.252,4.385,4.584,,5.022,,
4804,1987-06-25,3.567,3.625,3.718,3.786,3.841,3.925,3.98,4.108,4.238,4.342,,4.957,,
4805,1987-06-24,3.559,3.614,3.708,3.785,3.84,3.926,3.981,4.119,4.241,4.251,,4.919,,
4806,1987-06-23,3.558,3.604,3.697,3.763,3.818,3.895,3.943,4.07,4.218,4.16,,4.899,,
4807,1987-06-22,3.51,3.593,3.686,3.753,3.809,3.886,3.924,4.091,4.249,4.186,,4.906,,
4808,1987-06-19,3.445,3.47,3.564,3.626,3.66,3.718,3.758,3.897,4.068,4.006,,4.929,,
4809,1987-06-18,3.365,3.391,3.473,3.535,3.568,3.627,3.658,3.777,3.953,3.883,,4.815,,
4810,1987-06-17,3.359,3.391,3.474,3.535,3.569,3.627,3.657,3.777,3.953,3.894,,4.811,,
4811,1987-06-16,3.344,3.36,3.442,3.484,3.517,3.566,3.579,3.658,3.837,3.77,,4.775,,
4812,1987-06-15,3.35,3.333,3.412,3.454,3.487,3.526,3.53,3.578,3.74,3.7,,4.75,,
4813,1987-06-12,3.347,3.312,3.392,3.432,3.467,3.505,3.501,3.545,3.688,3.662,,4.721,,
4814,1987-06-11,3.36,3.324,3.412,3.452,3.488,3.525,3.511,3.575,3.717,3.684,,4.739,,
4815,1987-06-10,3.382,3.323,3.41,3.452,3.488,3.526,3.51,3.575,3.717,3.676,,4.716,,
4816,1987-06-09,3.4,3.342,3.431,3.484,3.517,3.555,3.522,3.625,3.784,3.723,,4.728,,
4817,1987-06-08,3.408,3.342,3.431,3.484,3.519,3.555,3.512,3.625,3.763,3.717,,4.727,,
4818,1987-06-06,3.403,3.353,3.452,3.506,3.548,3.585,3.514,3.635,3.783,3.73,,4.739,,
4819,1987-06-05,3.402,3.352,3.453,3.53,3.579,3.616,3.553,3.674,3.819,3.79,,4.785,,
4820,1987-06-04,3.425,3.348,3.433,3.487,3.537,3.574,3.512,3.645,3.789,3.767,,4.787,,
4821,1987-06-03,3.468,3.347,3.433,3.475,3.526,3.564,3.539,3.675,3.836,3.824,,4.781,,
4822,1987-06-02,3.465,3.347,3.434,3.475,3.527,3.564,3.503,3.656,3.806,3.81,,4.783,,
4823,1987-06-01,3.461,3.348,3.431,3.475,3.527,3.563,3.456,3.637,3.808,3.777,,4.785,,
4824,1987-05-30,3.469,3.307,3.403,3.445,3.507,3.512,3.397,3.566,3.738,3.78,,4.737,,
4825,1987-05-29,3.426,3.257,3.352,3.394,3.456,3.461,3.34,3.487,3.661,3.722,,4.696,,
4826,1987-05-28,3.424,3.246,3.339,3.383,3.446,3.452,3.368,3.454,3.632,3.687,,4.67,,
4827,1987-05-27,3.424,3.246,3.34,3.384,3.455,3.462,3.397,3.485,3.651,3.709,,4.665,,
4828,1987-05-26,3.422,3.256,3.351,3.394,3.477,3.473,3.434,3.514,3.678,3.751,,4.714,,
4829,1987-05-25,3.431,3.255,3.352,3.393,3.476,3.473,3.442,3.534,3.695,3.779,,4.726,,
4830,1987-05-23,3.409,3.255,3.35,3.393,3.476,3.472,3.443,3.533,3.694,3.766,,4.716,,
4831,1987-05-22,3.448,3.259,3.351,3.392,3.475,3.473,3.485,3.582,3.742,3.814,,4.801,,
4832,1987-05-21,3.466,3.279,3.371,3.392,3.477,3.471,3.448,3.615,3.77,3.847,,4.713,,
4833,1987-05-20,3.473,3.279,3.372,3.391,3.477,3.524,3.464,3.665,3.821,3.863,,4.795,,
4834,1987-05-19,3.505,3.294,3.382,3.42,3.496,3.542,3.465,3.717,3.87,3.946,,4.799,,
4835,1987-05-18,3.502,3.283,3.382,3.42,3.465,3.511,3.377,3.618,3.771,3.965,,4.77,,
4836,1987-05-15,3.452,3.232,3.329,3.368,3.414,3.46,3.24,3.47,3.628,3.83,,4.628,,
4837,1987-05-14,3.331,3.129,3.227,3.266,3.313,3.363,3.09,3.268,3.433,3.492,,4.438,,
4838,1987-05-13,3.32,3.127,3.227,3.266,3.303,3.344,3.042,3.268,3.433,3.462,,4.432,,
4839,1987-05-12,3.318,3.124,3.228,3.266,3.303,3.344,3.043,3.268,3.434,3.467,,4.427,,
4840,1987-05-11,3.365,3.17,3.276,3.317,3.354,3.397,3.188,3.362,3.592,3.695,,4.56,,
4841,1987-05-08,3.384,3.157,3.278,3.317,3.355,3.373,3.195,3.393,3.632,3.768,,4.548,,
4842,1987-05-07,3.329,3.144,3.275,3.358,3.458,3.481,3.283,3.488,3.736,3.904,,4.629,,
4843,1987-05-06,3.304,3.154,3.275,3.358,3.477,3.534,3.32,3.528,3.774,3.93,,4.622,,
4844,1987-05-02,3.304,3.157,3.275,3.357,3.528,3.584,3.371,3.553,3.783,3.97,,4.617,,
4845,1987-05-01,3.375,3.217,3.335,3.427,3.597,3.666,3.494,3.672,3.899,4.118,,4.695,,
4846,1987-04-30,3.381,3.256,3.365,3.459,3.628,3.698,3.472,3.653,3.877,4.104,,4.656,,
4847,1987-04-28,3.399,3.256,3.366,3.458,3.626,3.694,3.555,3.743,3.967,4.158,,4.686,,
4848,1987-04-27,3.41,3.249,3.365,3.456,3.626,3.695,3.524,3.703,3.931,4.108,,4.668,,
4849,1987-04-25,3.451,3.249,3.343,3.436,3.606,3.664,3.518,3.654,3.854,4.013,,4.574,,
4850,1987-04-24,3.477,3.283,3.373,3.468,3.664,3.724,3.694,3.827,3.953,4.055,,4.605,,
4851,1987-04-23,3.543,3.311,3.393,3.487,3.683,3.744,3.805,3.921,4.06,4.246,,4.727,,
4852,1987-04-22,3.542,3.311,3.393,3.487,3.682,3.743,3.806,3.905,4.139,4.342,,4.793,,
4853,1987-04-21,3.549,3.311,3.393,3.487,3.682,3.733,3.801,3.904,4.139,4.347,,4.819,,
4854,1987-04-20,3.552,3.313,3.39,3.487,3.682,3.712,3.782,3.875,4.11,4.335,,4.81,,
4855,1987-04-17,3.537,3.307,3.38,3.477,3.658,3.714,3.781,3.876,4.081,4.32,,4.766,,
4856,1987-04-16,3.528,3.308,3.38,3.476,3.648,3.737,3.804,3.843,4.072,4.301,,4.742,,
4857,1987-04-15,3.528,3.31,3.38,3.476,3.647,3.737,3.803,3.831,4.081,4.329,,4.768,,
4858,1987-04-14,3.585,3.346,3.422,3.496,3.645,3.746,3.834,3.86,4.109,4.345,,4.796,,
4859,1987-04-13,3.579,3.346,3.422,3.496,3.624,3.727,3.815,3.832,4.061,4.269,,4.747,,
4860,1987-04-10,3.641,3.375,3.42,3.496,3.623,3.727,3.818,3.852,4.085,4.235,,4.747,,
4861,1987-04-09,3.64,3.375,3.42,3.496,3.624,3.727,3.816,3.881,4.161,4.328,,4.799,,
4862,1987-04-08,3.64,3.396,3.429,3.495,3.623,3.726,3.816,3.882,4.143,4.298,,4.756,,
4863,1987-04-07,3.685,3.436,3.459,3.516,3.646,3.756,3.854,3.954,4.207,4.255,,4.793,,
4864,1987-04-06,3.715,3.45,3.469,3.526,3.656,3.766,3.867,3.991,4.282,4.407,,4.849,,
4865,1987-04-04,3.718,3.452,3.469,3.526,3.655,3.766,3.866,3.99,4.293,4.442,,4.877,,
4866,1987-04-03,3.777,3.472,3.477,3.536,3.668,3.784,3.896,4.019,4.338,4.525,,4.919,,
4867,1987-04-02,3.804,3.47,3.477,3.536,3.667,3.785,3.895,4.019,4.337,4.542,,4.937,,
4868,1987-04-01,3.856,3.497,3.499,3.556,3.701,3.806,3.924,4.046,4.384,4.585,,4.979,,
4869,1987-03-31,3.883,3.506,3.509,3.566,3.71,3.817,3.934,4.044,4.392,4.485,,4.992,,
4870,1987-03-30,3.873,3.508,3.509,3.566,3.71,3.816,3.918,4.014,4.373,4.473,,4.959,,
4871,1987-03-28,3.864,3.512,3.508,3.566,3.711,3.816,3.918,4.005,4.354,4.456,,4.916,,
4872,1987-03-27,3.888,3.543,3.539,3.596,3.741,3.825,3.928,4.013,4.381,4.54,,4.966,,
4873,1987-03-26,3.894,3.542,3.539,3.606,3.774,3.875,3.977,4.064,4.404,4.639,,5.007,,
4874,1987-03-25,3.883,3.543,3.539,3.596,3.753,3.855,3.957,4.034,4.366,4.601,,4.965,,
4875,1987-03-24,3.891,3.546,3.539,3.596,3.752,3.865,3.977,4.065,4.396,4.588,,4.957,,
4876,1987-03-23,3.882,3.547,3.54,3.575,3.721,3.815,3.918,3.986,4.3,4.536,,4.94,,
4877,1987-03-20,3.923,3.628,3.589,3.626,3.751,3.823,3.925,3.997,4.308,4.562,,4.973,,
4878,1987-03-19,3.948,3.628,3.589,3.626,3.752,3.833,3.934,4.017,4.328,4.586,,5.031,,
